Popul AAA_T AAC_T AAG_T AAT_T CAA_T CAC_T CAG_T CAT_T GAA_T GAC_T GAG_T GAT_T TAA_T TAC_T TAG_T TAT_T AAA_C AAC_C AAG_C AAT_C CAA_C CAC_C CAG_C CAT_C GAA_C GAC_C GAG_C GAT_C TAA_C TAC_C TAG_C TAT_C AAA_G AAC_G AAG_G AAT_G CAA_G CAC_G CAG_G CAT_G GAA_G GAC_G GAG_G GAT_G TAA_G TAC_G TAG_G TAT_G ACA_T ACC_T ACG_T ACT_T CCA_T CCC_T CCG_T CCT_T GCA_T GCC_T GCG_T GCT_T TCA_T TCC_T TCG_T TCT_T ACA_G ACC_G ACG_G ACT_G CCA_G CCC_G CCG_G CCT_G GCA_G GCC_G GCG_G GCT_G TCA_G TCC_G TCG_G TCT_G ACA_A ACC_A ACG_A ACT_A CCA_A CCC_A CCG_A CCT_A GCA_A GCC_A GCG_A GCT_A TCA_A TCC_A TCG_A TCT_A
PEL_AMR 35073 17623 15324 34193 14457 19682 20335 36827 14560 14681 15987 30592 40912 11406 11306 35115 78867 19908 25098 27717 32111 27315 28809 32544 21120 8911 19208 13459 26375 11488 12841 24188 99796 69241 71055 171680 74090 90294 117867 209203 56414 38256 48678 62250 75931 64093 59715 202847 156641 94031 242519 107873 101622 101335 219406 125966 82704 90077 183820 93185 88074 96652 144843 100373 40950 25784 10470 41829 26197 34966 13443 39158 19636 23497 8938 25364 34204 32797 10641 66870 50055 53267 13847 27408 30040 31339 11593 24383 38216 34836 16473 22669 29506 30190 8525 45943
JPT_EAS 35035 17845 15236 34488 14456 20109 20227 37151 14928 14989 16259 31385 40974 11487 11463 37369 78320 21949 25362 27494 32137 29788 28787 32483 21079 9433 19032 13198 26224 12442 12729 24093 99285 69442 71069 171197 73959 90379 117728 209779 56308 38237 48942 62305 75549 64272 59637 202346 155748 91469 244069 106845 101665 99945 220965 126539 82947 89584 184845 93805 87827 92149 145953 101279 40725 25640 10309 41476 26384 35398 13171 39335 19609 23465 8711 25428 34430 32758 10536 66758 52189 54106 13686 27586 30494 31738 11589 24468 38404 35449 16199 22556 29977 30526 8584 46305
CHB_EAS 34926 17762 15107 34327 14337 19888 20116 36599 14824 14978 16118 31356 40610 11349 11221 35115 78005 20158 25168 27433 32063 27462 28607 32275 20943 8927 18952 13133 26053 11507 12647 24125 98693 69193 70238 169946 73346 89518 116982 208612 55764 37938 47944 61693 75272 63732 59362 201765 154778 90697 242285 106014 101029 99147 219058 125188 82217 89025 183253 92647 87031 91635 144463 98715 40468 25512 10227 41423 26099 34911 13123 39020 19394 23280 8550 25129 34038 32328 10541 66067 49921 53725 13540 27336 30093 31445 11479 24287 37871 35135 16153 22419 29609 30189 8487 45881
CHS_EAS 34972 17793 15187 34259 14300 19907 20056 36771 14769 15005 16093 31330 40600 11282 11236 35015 78036 20181 24944 27329 31955 27403 28474 32217 20880 8892 18882 13079 26045 11504 12621 24135 98454 68831 70200 169752 73296 89175 116361 208209 55839 37873 47933 61632 75294 63629 59236 201362 154746 90580 241234 105968 100517 98729 217335 124833 81840 88334 181931 92494 87027 91105 143750 98223 40327 25392 10118 41414 25989 34730 13029 38847 19524 23442 8545 25252 33948 32354 10436 66074 49515 53632 13500 27361 29976 31316 11439 24299 37855 35063 16039 22344 29485 30324 8454 45996
CDX_EAS 34835 17814 15297 34074 14440 19890 20222 37038 14842 14967 16188 31389 40405 11360 11212 34773 78199 19329 25145 27339 32109 26878 28760 32519 20944 8645 19089 13105 26115 11179 12657 23985 98951 69233 70486 170563 73671 89759 117389 209231 55742 38031 48104 61918 75618 63847 59486 201445 155140 91159 243045 106124 101433 99581 219890 125587 82302 88520 184197 92719 87191 91461 145155 98261 40465 25585 10317 41552 26271 35230 13111 39452 19363 23256 8540 25131 34229 32704 10557 66451 49482 53881 13572 27366 30112 31630 11576 24514 38059 35433 16203 22593 29676 30637 8508 46119
KHV_EAS 35744 18184 15642 35016 14688 20369 20654 37601 15192 15330 16527 32150 41415 11706 11521 35722 80042 20330 25655 27996 32859 27996 29358 33285 21380 9022 19512 13408 26736 11692 12945 24626 101038 70730 71976 174225 75303 91528 119555 213574 57289 38773 49388 63140 77032 65132 60698 206235 158766 93083 248477 109132 103500 101517 224187 128602 83936 90672 187813 95083 89306 93617 148226 101032 41404 26132 10512 42419 26727 35955 13387 40174 20037 23978 8708 25962 34794 33323 10787 67859 50680 55020 13850 27970 30932 32313 11779 24986 38971 36135 16503 22976 30387 31148 8708 47109
TSI_EUR 39726 20020 17199 38790 16357 22136 22911 41577 16651 16763 18240 35170 45800 12977 12850 40446 88459 22521 28527 31343 36227 33046 33023 36731 23950 10146 21885 15040 29574 12877 14426 27111 113103 78142 80225 193755 83690 101273 133199 237653 63373 42956 56398 70663 86767 72758 68228 230348 179698 114209 277931 126627 116999 120139 252963 145065 95948 105040 211506 107926 103440 125439 167072 121760 46569 28981 11797 47500 30012 40025 15203 45230 22090 26625 10340 28870 39068 37460 12132 75978 58173 60980 15514 31381 34385 36035 13110 27824 43708 40057 18576 25969 33959 34779 9749 52404
IBS_EUR 40008 20257 17434 39227 16656 22547 23191 42155 16967 17036 18455 35566 46520 13065 12950 40146 89767 22647 28916 31728 36931 30955 33183 37270 24424 10236 22174 15256 30022 13010 14603 27551 114828 79444 81431 196795 84878 102720 134970 240925 64541 43552 55685 71629 87920 73636 69134 233954 182168 115372 281744 128050 118439 121338 256189 147102 97548 106039 214046 109381 104932 126096 169100 121242 47205 29372 11946 48285 30439 40505 15352 45707 22561 27104 9954 29289 39633 38003 12285 77199 57358 62055 15817 31785 34712 36503 13373 28182 44212 40625 18779 26336 34278 35257 9843 53245
GBR_EUR 37883 19054 16444 37224 15579 21221 21809 39637 15957 16040 17326 33426 43866 12244 12209 37987 84649 21625 27312 30074 34757 29683 31265 35124 22915 9632 20813 14411 28256 12268 13788 26059 107878 74783 76681 185276 80026 97156 127440 227430 60585 41070 52522 67302 82791 69513 65047 220176 171203 107598 263934 120423 111255 113372 239456 137880 91287 99368 200458 102359 98022 117011 158147 114037 44434 27685 11222 45290 28572 37859 14386 42709 21192 25457 9531 27477 37150 35558 11535 72320 54196 58356 14796 29790 32789 34177 12479 26478 41474 38082 17719 24780 32346 33175 9333 49978
CEU_EUR 38759 19409 16740 38001 15989 21640 22244 40453 16309 16305 17745 34242 45077 12535 12436 39216 86417 22055 27811 30522 35391 31093 31980 35673 23428 9853 21201 14679 28805 12583 14052 26577 110080 76118 78184 188745 81504 99013 130121 231998 61853 41914 53936 68566 84386 70930 66460 224878 174982 110379 269654 122909 113437 116107 245090 140615 93445 101661 205113 104744 100270 120491 161835 117315 45340 28159 11414 46352 29183 38772 14746 43789 21485 25863 9805 27984 37873 36291 11819 73778 55930 59375 15191 30487 33466 34970 12810 26984 42426 38799 18063 25313 32979 33856 9430 51059
FIN_EUR 38381 19370 16697 37537 15821 21505 21986 40266 16106 16220 17487 33818 44395 12458 12398 38572 85747 21843 27653 30458 35088 30031 31606 35501 23108 9784 21143 14450 28595 12432 13908 26387 109365 75658 77506 187406 81104 97989 129004 230493 61312 41404 52954 68149 83531 70360 65736 222706 173007 107616 267280 121126 112285 114003 242430 139356 92078 100112 202632 103331 98805 115943 160072 114444 44949 27926 11294 45943 28799 38463 14479 43277 21422 25664 9542 27930 37638 35943 11653 73367 54807 59054 15031 30261 33048 34704 12532 26757 41916 38787 17892 24967 32813 33526 9306 50554
GIH_SAS 41170 20966 18029 40312 16967 22995 24039 43508 17465 17624 19088 37176 47233 13414 13327 41027 92058 22732 29887 32625 37685 31922 34045 38380 24897 10352 22657 15565 30815 13169 15056 28418 116980 81699 83716 202170 86427 104781 137838 245920 66175 44859 57235 73305 90048 75740 70857 239314 186151 113783 291120 129648 121905 122141 264991 150714 99371 107983 220922 112000 106206 119028 174141 120975 48236 30315 12219 49549 31223 41714 15694 46967 23123 27771 10221 29888 40765 39019 12592 79263 58786 64369 16196 32787 35991 37962 13625 29437 45542 42307 19437 27351 35580 36629 10189 54743
PJL_SAS 41300 21031 17975 40475 17063 23105 24023 43604 17446 17658 19095 37034 47706 13433 13276 41289 92349 22644 29726 32652 37920 31405 34001 38394 25057 10239 22663 15658 30772 13203 15022 28601 117215 81646 83493 202587 86598 105027 137659 246520 65848 44777 57059 73227 90436 75818 70857 240200 186840 114068 291061 129493 121933 121970 264353 150719 99346 108258 220422 111937 106771 119443 174201 120754 48330 30285 12202 49654 31170 41713 15693 46939 23003 27531 10143 29879 40704 38994 12551 79282 58619 64248 16343 32789 35870 37780 13597 29307 45491 42213 19318 27089 35527 36606 10205 54802
ITU_SAS 41311 21096 18043 40355 16978 22963 23991 43659 17533 17653 19050 37148 47261 13533 13325 41329 92051 22664 29784 32576 37750 32594 33916 38407 24872 10329 22757 15674 30800 13284 14990 28338 117294 81699 83458 202609 86189 104530 137703 245967 66005 44757 57526 73559 90173 75731 70775 239790 186297 112889 290939 129201 121771 121411 264186 150233 99328 107503 220093 112134 106294 117399 174336 120932 48271 30304 12275 49524 31243 41638 15726 47018 23099 27779 10347 29856 40850 38772 12486 79081 59064 64472 16301 32731 35972 37806 13673 29345 45622 42056 19324 27226 35689 36624 10219 54812
BEB_SAS 39790 20280 17367 38932 16358 22223 23104 42022 16863 17003 18385 35492 45578 13024 12876 40016 89156 22015 28539 31646 36459 31522 32784 36928 24094 10001 21916 15152 29694 12858 14466 27583 113041 79017 80795 195288 83605 101602 133475 237520 63741 43369 55445 70805 86559 72781 68138 230604 179173 108002 279214 123852 117022 116299 253570 144464 95264 103346 211784 107492 101677 111722 167383 115867 46518 29309 11827 47804 30123 40130 15226 45124 22161 26561 10040 28635 39209 37452 12106 76254 56766 61944 15630 31542 34667 36253 13135 28093 43659 40326 18580 26098 34125 35090 9843 52682
STU_SAS 41699 21238 18178 40751 17177 23251 24227 44129 17759 17746 19313 37401 47827 13682 13445 41912 92929 22918 30049 32977 38112 33105 34337 38582 25100 10444 22917 15872 31096 13413 15154 28675 118224 82419 84241 204457 86727 105325 138736 248004 66515 45180 58114 74047 90799 76327 71333 242149 188080 114079 294262 130579 122924 122563 267248 151771 100294 108776 222575 113168 107206 118515 176385 122126 48722 30551 12393 50181 31478 42052 15938 47310 23185 27892 10436 30133 41128 39222 12604 79949 59587 64920 16453 33209 36198 38267 13716 29632 46022 42451 19432 27501 35964 37022 10324 55266
